variant,simulation_id,ring,radius_mm,groove_overlap,ring_mass_flow_kg_s,ring_mass_flux_kg_m2s,ring_dp_Pa,groove_dp_Pa,outlet_gas_K
graetz_fd361_prescribed,E67,10,10.183621983037002,1.0,5.5667273425546074e-5,1.3021584427028319,249.6708730686741,0.0,699.6196229537488
graetz_fd361_prescribed,E68,1,0.5359801043703685,0.0,2.6302829929986156e-6,1.1690146635549403,267.03777453089214,0.0,777.6144605615945
graetz_fd361_prescribed,E68,2,1.6079403131111056,0.0,7.875063334626765e-6,1.1666760495743353,266.4959693468394,0.0,777.5947284820351
graetz_fd361_prescribed,E68,3,2.6799005218518426,0.0,1.3072486743147657e-5,1.1619988216131252,265.4130390971522,0.0,777.5553435521905
graetz_fd361_prescribed,E68,4,3.7518607305925795,0.0,1.8190981929823137e-5,1.15498297967131,263.7903090450179,0.0,777.4964555689505
graetz_fd361_prescribed,E68,5,4.8238209393333165,0.0,2.3198977605915013e-5,1.1456285237488897,261.6296813047951,0.0,777.418267464731
graetz_fd361_prescribed,E68,6,5.895781148074053,0.0,2.8064902482685145e-5,1.1339354538458646,258.93353644813953,0.0,777.3210088634023
graetz_fd361_prescribed,E68,7,6.96774135681479,0.9409271337274929,3.2757185271395344e-5,1.1199037699622345,255.70460963039793,0.0,777.2049002012799
graetz_fd361_prescribed,E68,8,8.039701565555527,1.0,3.724425468330751e-5,1.1035334720979995,251.94584703712832,0.0,777.0701067342145
graetz_fd361_prescribed,E68,9,9.111661774296264,1.0,4.149453942968332e-5,1.084824560253159,247.66024938410922,0.0,776.916681393401
graetz_fd361_prescribed,E68,10,10.183621983037002,1.0,4.547646822178477e-5,1.0637770344277138,242.85070991555088,0.0,776.7444949614597
graetz_fd361_prescribed,E69,1,0.5359801043703685,0.0,2.2124269112777464e-6,0.9833008494567762,260.88938045446776,0.0,848.763981375592
graetz_fd361_prescribed,E69,2,1.6079403131111056,0.0,6.6240028528953394e-6,0.9813337559844946,260.3569278604264,0.0,848.7406001378636
graetz_fd361_prescribed,E69,3,2.6799005218518426,0.0,1.0995745151699227e-5,0.9773995690399314,259.29268752585347,0.0,848.6938793743944
graetz_fd361_prescribed,E69,4,3.7518607305925795,0.0,1.5301098045813613e-5,0.9714982886230863,257.6979572051386,0.0,848.6238917734174
graetz_fd361_prescribed,E69,5,4.8238209393333165,0.0,1.9513505773362686e-5,0.9636299147339599,255.574605136218,0.0,848.5307193080153
graetz_fd361_prescribed,E69,6,5.895781148074053,0.0,2.3606412572470654e-5,0.9537944473725518,252.924980055163,0.0,848.4144201215366
graetz_fd361_prescribed,E69,7,6.96774135681479,0.9409271337274929,2.75532626812617e-5,0.941991886538862,249.7517977981864,0.0,848.2749832189104
graetz_fd361_prescribed,E69,8,8.039701565555527,1.0,3.1327500337860085e-5,0.9282222322328907,246.05800970208642,0.0,848.1122698047366
graetz_fd361_prescribed,E69,9,9.111661774296264,1.0,3.490256978038989e-5,0.9124854844546377,241.8466588386097,0.0,847.9259396062586
graetz_fd361_prescribed,E69,10,10.183621983037002,1.0,3.825191524697542e-5,0.8947816432041032,237.12073072070808,0.0,847.7153598717714
graetz_fd361_prescribed,E70,1,0.5359801043703685,0.0,1.916664798019399e-6,0.8518510213419551,257.1329703875274,0.0,912.7580518128867
graetz_fd361_prescribed,E70,2,1.6079403131111056,0.0,5.738491529553956e-6,0.8501468932672525,256.6055062026637,0.0,912.7312095988974
graetz_fd361_prescribed,E70,3,2.6799005218518426,0.0,9.52580966757578e-6,0.8467386371178472,255.5512388706835,0.0,912.6775218346011
