stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,lateral_conductivity_scale,edge_felt_contact_scale,beam_sigma_mm,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
shape,109,16.545800928402336,1.7988396492625762,3.0837655359075127,6.191968711622398,3.3534841303612968,0.8636979120286422,0.05,1.0,100.0,100.0,0.75,1.25,1.05,0.77
shape,110,16.53010715131565,1.8151657377781494,3.1011401265155185,6.191229705447749,3.2343033622434163,0.8636979120286422,0.05,1.0,100.0,100.0,1.2,1.25,1.05,0.77
shape,111,16.494309195343707,1.819260082747726,3.10229680853733,6.17839722069621,3.185722242093466,0.8636979120286422,0.05,1.0,100.0,100.0,1.8,1.25,1.05,0.77
shape,112,16.728213475629587,1.7705889715675132,3.048609347657248,6.079180761660371,4.842770734766121,0.8636979120286422,0.05,1.0,100.0,150.0,0.75,1.25,1.05,0.77
shape,113,16.74242264938991,1.7856205822214635,3.0632442113797667,6.096249956316297,4.7115997836920025,0.8636979120286422,0.05,1.0,100.0,150.0,1.2,1.25,1.05,0.77
shape,114,16.713386475015785,1.7889324244809193,3.0618451962666144,6.088232904242397,4.658619090519218,0.8636979120286422,0.05,1.0,100.0,150.0,1.8,1.25,1.05,0.77
shape,115,16.97151577462353,1.7551041533594656,3.0335783274154706,5.9956043725597725,6.2776014063518595,0.8636979120286422,0.05,1.0,100.0,250.0,0.75,1.25,1.05,0.77
shape,116,17.004766790528535,1.7694231188225757,3.0458511146249485,6.022500296348635,6.149129295356271,0.8636979120286422,0.05,1.0,100.0,250.0,1.2,1.25,1.05,0.77
shape,117,16.98938860868159,1.7720987413647542,3.0431412038774788,6.021442226037496,6.098713660214261,0.8636979120286422,0.05,1.0,100.0,250.0,1.8,1.25,1.05,0.77
shape,118,17.083412505316574,1.7481764899411707,3.027381886356205,5.954093851678617,6.956615966989963,0.8636979120286422,0.05,1.0,100.0,400.0,0.75,1.25,1.05,0.77
shape,119,17.135854247863353,1.7620297848451778,3.0385204841711153,5.989717616365731,6.836613763403533,0.8636979120286422,0.05,1.0,100.0,400.0,1.2,1.25,1.05,0.77
shape,120,17.124241024128512,1.7643722255991883,3.034638458156648,5.990267519948049,6.790310883906363,0.8636979120286422,0.05,1.0,100.0,400.0,1.8,1.25,1.05,0.77
power,1,6.9654070083299064,2.134408922502045,4.258175819877766,1.545840737456443,0.8760746543522502,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,0.8925,0.6545
power,2,6.779639607173407,2.0050951477782397,3.9465512107659055,1.5595512137673555,0.9081173332823835,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,0.8925,0.77
power,3,6.719494297849301,1.950407691683417,3.794731561519382,1.5742728326283546,0.9436000126913014,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,0.8925,0.8855
power,4,6.4415303454050505,1.7862171583041844,3.5060110346430777,1.5743734435815155,0.8524050696631402,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,1.05,0.6545
power,5,6.255762944248554,1.6569033835803793,3.194386425531218,1.5880839198924284,0.8844477485932737,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,1.05,0.77
power,6,6.195617634924448,1.602215927485557,3.042566776284695,1.6028055387534272,0.9199304280021915,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,1.05,0.8855
power,7,6.176686555692721,1.5950930518588593,3.076404766247328,1.6041567576636158,0.8377236332882035,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,1.2075,0.6545
power,8,5.990919154536222,1.4657792771350542,2.764780157135468,1.6178672339745281,0.8697663122183369,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,1.2075,0.77
power,9,5.930773845212117,1.411091821040232,2.612960507888945,1.6325888528355275,0.9052489916272548,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.0625,1.2075,0.8855
power,10,6.600508911381558,1.8439149358317006,3.622530642893203,1.6075683318914729,0.8521888341766035,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,0.8925,0.6545
power,11,6.414741510225061,1.7146011611078955,3.310906033781343,1.6212788082023855,0.8842315131067369,0.3980829372919412,1.0,3.0,100.0,100.0,1.8,1.25,0.8925,0.77
